Epoch: 1, Classification rate: 86.09%
Epoch: 2, Classification rate: 89.44%
Epoch: 3, Classification rate: 89.96%
Epoch: 4, Classification rate: 90.21%
Epoch: 5, Classification rate: 90.33%
Epoch: 6, Classification rate: 90.39%
Epoch: 7, Classification rate: 90.44%
Epoch: 8, Classification rate: 90.48%
Epoch: 9, Classification rate: 90.50%
Epoch: 10, Classification rate: 90.53%
Epoch: 11, Classification rate: 90.52%
Epoch: 12, Classification rate: 90.55%
Epoch: 13, Classification rate: 90.57%
Epoch: 14, Classification rate: 90.59%
Epoch: 15, Classification rate: 90.62%
Epoch: 16, Classification rate: 90.63%
Epoch: 17, Classification rate: 90.63%
Epoch: 18, Classification rate: 90.63%
Epoch: 19, Classification rate: 90.63%
Epoch: 20, Classification rate: 90.64%
