Epoch: 1, Classification rate: 89.57%
Epoch: 2, Classification rate: 90.43%
Epoch: 3, Classification rate: 90.70%
Epoch: 4, Classification rate: 90.73%
Epoch: 5, Classification rate: 90.81%
Epoch: 6, Classification rate: 90.85%
Epoch: 7, Classification rate: 90.89%
Epoch: 8, Classification rate: 90.97%
Epoch: 9, Classification rate: 90.97%
Epoch: 10, Classification rate: 90.97%
Epoch: 11, Classification rate: 91.01%
Epoch: 12, Classification rate: 91.03%
Epoch: 13, Classification rate: 91.02%
Epoch: 14, Classification rate: 91.03%
Epoch: 15, Classification rate: 91.04%
Epoch: 16, Classification rate: 91.06%
Epoch: 17, Classification rate: 91.09%
Epoch: 18, Classification rate: 91.10%
Epoch: 19, Classification rate: 91.11%
Epoch: 20, Classification rate: 91.12%
