Epoch: 1, Classification rate: 87.68%
Epoch: 2, Classification rate: 89.97%
Epoch: 3, Classification rate: 90.19%
Epoch: 4, Classification rate: 90.25%
Epoch: 5, Classification rate: 90.27%
Epoch: 6, Classification rate: 90.34%
Epoch: 7, Classification rate: 90.40%
Epoch: 8, Classification rate: 90.43%
Epoch: 9, Classification rate: 90.47%
Epoch: 10, Classification rate: 90.49%
Epoch: 11, Classification rate: 90.50%
Epoch: 12, Classification rate: 90.54%
Epoch: 13, Classification rate: 90.56%
Epoch: 14, Classification rate: 90.56%
Epoch: 15, Classification rate: 90.58%
Epoch: 16, Classification rate: 90.60%
Epoch: 17, Classification rate: 90.61%
Epoch: 18, Classification rate: 90.63%
Epoch: 19, Classification rate: 90.63%
Epoch: 20, Classification rate: 90.64%
Epoch: 21, Classification rate: 90.64%
Epoch: 22, Classification rate: 90.64%
Epoch: 23, Classification rate: 90.65%
Epoch: 24, Classification rate: 90.65%
Epoch: 25, Classification rate: 90.66%
Epoch: 26, Classification rate: 90.66%
Epoch: 27, Classification rate: 90.66%
Epoch: 28, Classification rate: 90.67%
Epoch: 29, Classification rate: 90.67%
Epoch: 30, Classification rate: 90.67%
Epoch: 31, Classification rate: 90.67%
Epoch: 32, Classification rate: 90.67%
Epoch: 33, Classification rate: 90.67%
Epoch: 34, Classification rate: 90.67%
Epoch: 35, Classification rate: 90.67%
Epoch: 36, Classification rate: 90.66%
Epoch: 37, Classification rate: 90.67%
Epoch: 38, Classification rate: 90.67%
Epoch: 39, Classification rate: 90.67%
Epoch: 40, Classification rate: 90.67%
Epoch: 41, Classification rate: 90.67%
Epoch: 42, Classification rate: 90.67%
