Epoch: 1, Classification rate: 85.92%
Epoch: 2, Classification rate: 100.00%
Epoch: 3, Classification rate: 100.00%
Epoch: 4, Classification rate: 100.00%
Epoch: 5, Classification rate: 100.00%
Epoch: 6, Classification rate: 100.00%
Epoch: 7, Classification rate: 100.00%
Epoch: 8, Classification rate: 100.00%
Epoch: 9, Classification rate: 100.00%
Epoch: 10, Classification rate: 100.00%
Epoch: 11, Classification rate: 100.00%
Epoch: 12, Classification rate: 100.00%
Epoch: 13, Classification rate: 100.00%
Epoch: 14, Classification rate: 100.00%
Epoch: 15, Classification rate: 100.00%
Epoch: 16, Classification rate: 100.00%
Epoch: 17, Classification rate: 100.00%
Epoch: 18, Classification rate: 100.00%
Epoch: 19, Classification rate: 100.00%
Epoch: 20, Classification rate: 100.00%
Epoch: 21, Classification rate: 100.00%
Epoch: 22, Classification rate: 100.00%
Epoch: 23, Classification rate: 100.00%
Epoch: 24, Classification rate: 100.00%
Epoch: 25, Classification rate: 100.00%
Epoch: 26, Classification rate: 100.00%
Epoch: 27, Classification rate: 100.00%
Epoch: 28, Classification rate: 100.00%
Epoch: 29, Classification rate: 100.00%
Epoch: 30, Classification rate: 100.00%
Epoch: 31, Classification rate: 100.00%
Epoch: 32, Classification rate: 100.00%
Epoch: 33, Classification rate: 100.00%
Epoch: 34, Classification rate: 100.00%
Epoch: 35, Classification rate: 100.00%
Epoch: 36, Classification rate: 100.00%
Epoch: 37, Classification rate: 100.00%
Epoch: 38, Classification rate: 100.00%
Epoch: 39, Classification rate: 100.00%
Epoch: 40, Classification rate: 100.00%
Epoch: 41, Classification rate: 100.00%
Epoch: 42, Classification rate: 100.00%
Epoch: 43, Classification rate: 100.00%
Epoch: 44, Classification rate: 100.00%
Epoch: 45, Classification rate: 100.00%
Epoch: 46, Classification rate: 100.00%
Epoch: 47, Classification rate: 100.00%
Epoch: 48, Classification rate: 100.00%
Epoch: 49, Classification rate: 100.00%
Epoch: 50, Classification rate: 100.00%
Epoch: 51, Classification rate: 100.00%
Epoch: 52, Classification rate: 100.00%
Epoch: 53, Classification rate: 100.00%
Epoch: 54, Classification rate: 100.00%
Epoch: 55, Classification rate: 100.00%
Epoch: 56, Classification rate: 100.00%
Epoch: 57, Classification rate: 100.00%
Epoch: 58, Classification rate: 100.00%
Epoch: 59, Classification rate: 100.00%
Epoch: 60, Classification rate: 100.00%
Epoch: 61, Classification rate: 100.00%
Epoch: 62, Classification rate: 100.00%
Epoch: 63, Classification rate: 100.00%
Epoch: 64, Classification rate: 100.00%
Epoch: 65, Classification rate: 100.00%
Epoch: 66, Classification rate: 100.00%
Epoch: 67, Classification rate: 100.00%
Epoch: 68, Classification rate: 100.00%
Epoch: 69, Classification rate: 100.00%
Epoch: 70, Classification rate: 100.00%
Epoch: 71, Classification rate: 100.00%
Epoch: 72, Classification rate: 100.00%
Epoch: 73, Classification rate: 100.00%
Epoch: 74, Classification rate: 100.00%
Epoch: 75, Classification rate: 100.00%
Epoch: 76, Classification rate: 100.00%
Epoch: 77, Classification rate: 100.00%
Epoch: 78, Classification rate: 100.00%
Epoch: 79, Classification rate: 100.00%
Epoch: 80, Classification rate: 100.00%
Epoch: 81, Classification rate: 100.00%
Epoch: 82, Classification rate: 100.00%
Epoch: 83, Classification rate: 100.00%
Epoch: 84, Classification rate: 100.00%
Epoch: 85, Classification rate: 100.00%
Epoch: 86, Classification rate: 100.00%
Epoch: 87, Classification rate: 100.00%
Epoch: 88, Classification rate: 100.00%
Epoch: 89, Classification rate: 100.00%
Epoch: 90, Classification rate: 100.00%
Epoch: 91, Classification rate: 100.00%
